fragment_smiles,occurences,example_ligands
CC1(C)CC1N,757,20:02000:0:Z3549959603;20:02000:1:Z3794865105;20:02000:4:Z4421537886;
Cc1ccc(C)cc1,4972,20:02000:0:Z3362954740;20:02000:0:Z3362953856;20:02000:0:Z1536850977;
C1CC2CNCC12,8246,20:02000:0:Z3142707348;20:02000:0:Z4002797688;20:02000:0:Z2964255709;
C1CCC2(C1)CCNC2,1483,20:02000:0:Z2197020086;20:02000:0:Z4058971014;20:02000:0:Z1272644151;
c1ccc2[nH]ccc2c1,10834,20:02000:0:Z1529761096;20:02000:0:Z1532830432;20:02000:0:Z1747826703;
C1CC2(CC2)CN1,6889,20:02000:0:Z2827978075;20:02000:0:Z2257428564;20:02000:0:Z3833408118;
Cc1cc[nH]n1,21086,20:02000:0:Z4118409141;20:02000:0:Z3292376345;20:02000:0:Z393208084;
Cc1nc[nH]c1C,3316,20:02000:0:Z2915353344;20:02000:0:Z2715939680;20:02000:0:Z2879376117;
CC1=CCCCC1,388,20:02000:0:Z5006754443;20:02000:2:Z5006120615;20:02000:6:Z5005964106;
CC1(C)OC2CCCC2O1,381,20:02000:0:Z2975833936;20:02000:5:Z2962636558;20:02000:6:Z3650253700;
Cc1sc2nn[nH]c(=O)c2c1C,29,20:02000:0:Z4414613642;20:02000:9:Z2589178229;20:02001:8:Z4426733029;
CC1(C)CCNCC1,2429,20:02000:0:Z4414613642;20:02000:0:Z1441088116;20:02000:0:Z3364124552;
CC1CCCC(=O)N1,2472,20:02000:0:Z3784443041;20:02000:1:Z3838958274;20:02000:2:Z4770333910;
OC1CCNC1,28671,20:02000:0:Z3784443041;20:02000:0:Z3866026227;20:02000:0:Z2854639102;
CC1CC(C)C1,1975,20:02000:0:Z3548310359;20:02000:1:Z4330058734;20:02000:3:Z3391750699;
C1COC2CC2O1,101,20:02000:0:Z3646696899;20:02000:7:Z3646694417;20:02000:9:Z3646683464;
c1cc2c(s1)CCSC2,852,20:02000:0:Z1748484599;20:02000:5:Z3093813415;20:02000:6:Z1904010039;
C1CCC2(C1)CNC2,1583,20:02000:0:Z1748484599;20:02000:0:Z3373403622;20:02000:0:Z1748483623;
Cc1ccsc1C,3227,20:02000:0:Z2001143866;20:02000:0:Z1225239383;20:02000:0:Z1589346609;
