fragment_smiles,occurences,example_ligands
Cc1cncnc1C,1803,28:02800:0:Z5023224097;28:02800:0:Z4483451706;28:02800:0:Z3509053945;
CC1(C)CNCC2CCOC2C1,138,28:02800:0:Z4490793683;28:02800:0:Z4406926785;28:02800:0:Z4490793735;
FC12CCCC(CC1)C2,240,28:02800:0:Z4923503549;28:02800:0:Z4922047749;28:02800:7:Z4921654562;
Cc1cnc(C)o1,1748,28:02800:0:Z1575985348;28:02800:0:Z2600041825;28:02800:0:Z2214886860;
Fc1ccc2[nH]cnc2c1,597,28:02800:0:Z2278664662;28:02800:4:Z1936612123;28:02800:4:Z4029109667;
Cc1ccncn1,18535,28:02800:0:Z4984783310;28:02800:0:Z2114318543;28:02800:0:Z2701682601;
c1cc2n(n1)CCNC2,2638,28:02800:0:Z4984783310;28:02800:0:Z2761432923;28:02800:1:Z4027426511;
Clc1ccc2cnccc2c1,155,28:02800:0:Z3501169940;28:02800:7:Z3530954028;28:02803:4:Z4210408621;
C1CNC2CNCC2C1,827,28:02800:0:Z3501169940;28:02800:0:Z4212966375;28:02800:1:Z4080897482;
CC1(C)CCCC1,4769,28:02800:0:Z3861364612;28:02800:0:Z1408287372;28:02800:0:Z4101116321;
C1CC2CCC1C2,13328,28:02800:0:Z1652892718;28:02800:0:Z1802965872;28:02800:0:Z3100794723;
c1cnc2c(n1)CCCC2,381,28:02800:0:Z3361843050;28:02800:2:Z3196192584;28:02800:8:Z2772169797;
C1COC2(C1)CCC2,4775,28:02800:0:Z2879670889;28:02800:0:Z2975952572;28:02800:0:Z4225823839;
C1CCC2(C1)CC2,5888,28:02800:0:Z3741832113;28:02800:0:Z4599960657;28:02800:0:Z1866939139;
CN1CCCCC1,16652,28:02800:0:Z1281459617;28:02800:0:Z5035564894;28:02800:0:Z3584715057;
CN1CCNc2ccccc21,201,28:02800:0:Z4569831877;28:02800:3:Z1173455926;28:02800:5:Z1973920952;
Cn1ccnn1,17593,28:02800:0:Z4220900116;28:02800:0:Z2435232755;28:02800:0:Z2280040664;
CC1(F)CCC1,3803,28:02800:0:Z4450640405;28:02800:0:Z3358793500;28:02800:0:Z4541704513;
