fragment_smiles,occurences,example_ligands
FC1(F)CCc2[nH]ncc2C1,290,56:05600:0:Z4609058809;56:05601:0:Z4541761765;56:05601:4:Z4609017166;
Nc1ccn[nH]1,2381,56:05600:0:Z1672597997;56:05600:2:Z3671105407;56:05600:3:Z2906226571;
CC1(C)CCCNC1,5284,56:05600:0:Z1672597997;56:05600:0:Z4577055154;56:05600:0:Z1838543488;
C1CC2CCC1C2,12960,56:05600:0:Z3561179916;56:05600:0:Z2956541497;56:05600:0:Z3641149946;
c1nc2n(n1)CCCC2,2428,56:05600:0:Z3356020030;56:05600:0:Z3704238148;56:05600:0:Z3052693181;
c1ncsn1,10489,56:05600:0:Z3606142458;56:05600:0:Z1465894045;56:05600:0:Z1961090515;
Cc1ccccc1C,13184,56:05600:0:Z3606142458;56:05600:0:Z807126956;56:05600:0:Z2207322925;
C1CC2COCCN2C1,1513,56:05600:0:Z2766956281;56:05600:3:Z2767904294;56:05600:4:Z4287969057;
Cn1cc[nH]c1=O,475,56:05600:0:Z3706258647;56:05600:0:Z3339658754;56:05600:1:Z2637652416;
CC1CNCc2c[nH]nc21,271,56:05600:0:Z2916193271;56:05600:2:Z4065428625;56:05600:4:Z3361603134;
CC1(C)CCC1O,2290,56:05600:0:Z1818810882;56:05600:0:Z4879751286;56:05600:0:Z4879754384;
c1cc2n(c1)CCNC21CCC1,216,56:05600:0:Z4210845016;56:05600:0:Z4214202335;56:05601:0:Z3883885545;
