fragment_smiles,occurences,example_ligands
C1CC2CC12,15586,69:06900:0:PV-004486461714;69:06900:0:PV-004486465853;69:06900:0:PV-004486472412;
C1CNC2(CCOCC2)CN1,11,69:06900:0:PV-004486462383;69:06905:0:PV-003159984170;69:06923:8:PV-002756226959;
FC1(F)C2COCC21,621,69:06900:0:PV-004486462462;69:06900:0:PV-004486498409;69:06900:0:PV-004486551874;
C1COCCO1,6987,69:06900:0:PV-004486462534;69:06900:0:PV-004486462765;69:06900:0:PV-004486508017;
O=C1NCCc2[nH]ncc21,297,69:06900:0:PV-004486462724;69:06900:3:PV-004486847323;69:06900:4:PV-004486993866;
Cn1nccn1,5264,69:06900:0:PV-004486463535;69:06900:0:PV-004486463536;69:06900:0:PV-004486507704;
Cc1c(Cl)cnn1C,1057,69:06900:0:PV-004486463607;69:06900:0:PV-002505757776;69:06900:0:PV-001473998669;
Clc1ncc[nH]1,4639,69:06900:0:PV-004486463607;69:06900:0:PV-002753056909;69:06900:0:PV-002753059072;
FC1(F)CCNC1,3412,69:06900:0:PV-004486464102;69:06900:0:PV-004486495763;69:06900:0:PV-004486559458;
Cc1ccn[nH]1,21626,69:06900:0:PV-004486464102;69:06900:0:PV-004486475246;69:06900:0:PV-004486475247;
Cc1nc(=O)cc[nH]1,90,69:06900:0:PV-004486464584;69:06900:4:PV-002753117562;69:06900:8:PV-002753171492;
OC1CC2NCCOC2C1,331,69:06900:0:PV-004486464584;69:06900:4:PV-004487046414;69:06900:9:PV-004487402420;
CC1(C)OC2CCC1CC2,119,69:06900:0:PV-004486464605;69:06900:9:PV-003158595883;69:06901:0:PV-003158639831;
